"Rev2","partial2","Rev31","partial31","Activity"
"3411",1,"2021",1,"Manufacture of fibreboard, other building board"
"3411",1,"2101",1,"Manufacture of pulp, paper, paperboard"
"3411",1,"2102",1,"Manufacture of corrugated paper or paperboard"
"3411",1,"2699",1,"Manufacture of asbestos paper"
"3412",1,"2102",1,"Manufacture of containers and boxes of paper and paperboard"
"3412",1,"2109",1,"Manufacture of constructions of paper and paperboard, such as spools, cones, cores and bobbins"
"3419",1,"1920",1,"Manufacture of footwear of paper"
"3419",1,"2101",1,"Manufacture of off-machine coated, glazed, gummed, laminated paper and paperboard"
"3419",1,"2109",1,"Manufacture of articles of paper and paperboard such as plates, utensils, stationery, towels, toilet articles, filter blocks"
"3420",1,"2109",1,"Printing or embossing of stationery and labels"
"3420",1,"2211",0,"Publishing of books, brochures, maps and other publications"
"3420",1,"2212",0,"Publishing of newspapers, journals and periodicals"
"3420",1,"2213",1,"Publishing of sheet music"
"3420",1,"2219",0,"Other publishing (photos, engravings, postcards, timetables, forms, posters, art reproductions, etc.)"
"3420",1,"2221",1,"Printing (periodicals, books, maps, music, posters, catalogues, stamps, currency) on account of publishers, producers, government, others"
"3420",1,"2222",0,"Service activities related to printing (bookbinding, production of type, plates, etc.)"
"3511",1,"2330",0,"Processing of nuclear fuel"
"3511",1,"2411",0,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
"3511",1,"2412",1,"Manufacture of products of the nitrogenous fertilizer industry (nitric acid, ammonia, nitrate of potassium, urea)"
"3511",1,"2429",1,"Manufacture of activated carbon; anti-freeze preparations; chemical products for industrial and laboratory use"
"3512",1,"2412",1,"Manufacture of straight, mixed, compound and complex nitrogenous, phosphatic and potassic fertilizers"
"3512",1,"2421",0,"Manufacture of pesticides and other agro-chemical products"
"3513",1,"2413",0,"Manufacture of plastics in primary forms and of synthetic rubber"
"3513",1,"2430",1,"Manufacture of man-made filament tow or staple fibres, except glass"
"3513",1,"2519",1,"Manufacture of synthetic rubber products in basic forms: sheets, rods, tubes"
"3513",1,"2520",1,"Manufacture of plastics products in basic forms: sheets, rods, tubes, etc."
"3521",0,"2422",1,"Manufacture of paints, varnishes and lacquers"
"3522",0,"2423",1,"Manufacture of drugs and medicines"
"3523",0,"2424",1,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
"3529",1,"2422",1,"Manufacture of printers' ink"
"3529",1,"2424",1,"Manufacture of polishes for furniture, metal, etc.; waxes; deodorizing preparations"
"3529",1,"2429",1,"Manufacture of writing and drawing ink; gelatine products; photochemical products, plates, films; sensitized unexposed film, unrecorded recording media"
"3529",1,"2927",1,"Manufacture of explosives and ammunition"
"3529",1,"3699",1,"Manufacture of candles, matches"
"3530",0,"2320",1,"Petroleum refineries"
"3540",1,"1010",1,"Manufacture of briquettes of hard coal, at mining site or from purchased coal"
"3540",1,"1020",1,"Manufacture of briquettes of lignite, at mining site or from purchased coal"
"3540",1,"2310",0,"Manufacture of coke oven products"
"3540",1,"2320",1,"Manufacture of petroleum refinery products from purchased materials"
"3540",1,"2699",1,"Manufacture of asphalt products"
"3540",1,"3699",1,"Manufacture of asphalt floor tiles"
"3551",1,"2511",0,"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"3551",1,"2519",1,"Manufacture of tube repair materials"
"3559",1,"1920",1,"Manufacture of footwear primarily of vulcanized or moulded rubber"
"3559",1,"2429",1,"Manufacture of rubber cement"
"3559",1,"2519",1,"Manufacture of finished or semi-finished products, n.e.c. of naturalm or synthetic rubber (e.g. industrial, pharmaceutical, apparel articles)"
"3559",1,"3140",1,"Manufacture of battery separators, containers, parts, boxes, etc., of rubber"
"3559",1,"3511",1,"Manufacture of inflatable rafts (rubber)"
"3559",1,"3512",1,"Manufacture of inflatable boats (rubber)"
"3559",1,"3694",1,"Manufacture of rubber toys"
"3559",1,"3720",1,"Recycling of rubber"
"3560",1,"1920",1,"Manufacture of plastics footwear"
"3560",1,"2429",1,"Manufacture of phonograph record blanks"
"3560",1,"2520",1,"Manufacture of plastics articles n.e.c. (dinnerware, tiles, builders' parts, etc.)"
"3560",1,"3140",1,"Manufacture of battery separators, containers, parts, boxes, etc., of plastic"
"3560",1,"3430",1,"Manufacture of plastic grills and fenders for automobiles"
"3560",1,"3610",1,"Manufacture of plastics furniture"
"3560",1,"3699",1,"Manufacture of plastic vacuum bottles and vacuum bottle stoppers"
"3560",1,"3720",1,"Recycling of used plastic materials"
"3610",0,"2691",0,"Manufacture of non-structural non-refractory ceramic ware (pottery, china, and earthenware)"
"3620",1,"2610",1,"Manufacture of glass and glass products"
"3620",1,"3190",1,"Manufacture of glass insulating fittings"
"3691",1,"2692",1,"Manufacture of refractory clay products"
"3691",1,"2693",0,"Manufacture of structural non-refractory clay and ceramic products"
"3692",0,"2694",0,"Manufacture of cement, lime and plaster"
"3699",1,"1030",1,"Manufacture of peat briquettes (not at mine)"
"3699",1,"2610",1,"Manufacture of glass wool"
"3699",1,"2692",1,"Manufacture of non-clay refractory products"
"3699",1,"2695",0,"Manufacture of articles of concrete, cement and plaster"
"3699",1,"2696",0,"Cutting, shaping and finishing of stone (not at quarry)"
"3699",1,"2699",1,"Manufacture of asbestos products; friction materials; mineral insulating materials; grindstones, abrasive products; articles of mica, graphite or other mineral substances n.e.c."
"3699",1,"2720",1,"Manufacture of cermets"
"3699",1,"3190",1,"Manufacture of graphite products"
"3699",1,"3699",1,"Manufacture of vinyl asbestos floor tiles"
"3710",1,"2710",1,"Manufacture of primary iron and steel products (excluding forging and casting operations)"
"3710",1,"2731",0,"Casting of iron and steel"
"3710",1,"2891",1,"Forging of iron and steel"
"3710",1,"2892",1,"Treatment and specialized operation on iron and steel, on a fee or contract basis"
"3710",1,"3520",1,"Manufacture of wheels for railway cars and locomotives"
"3710",1,"3710",1,"Recycling of non-ferrous metal waste and scrap, outside of scrap yard"
"3720",1,"2720",1,"Manufacture of primary products of precious and non-ferrous metal (excluding forging and casting operations)"
"3720",1,"2732",0,"Casting of non-ferrous metals"
"3720",1,"2891",1,"Forging of precious and non-ferrous metals"
"3720",1,"2892",1,"Treatment and specialized operation on precious and non-ferrous metals, on a fee or contract basis"
"3720",1,"3710",1,"Recycling of non-ferrous metal waste and scrap"
"3811",1,"2891",1,"Blacksmithing, hand forging of metal products"
"3811",1,"2893",1,"Manufacture of metal household articles (knives, utensils, etc.); hand tools for agriculture, gardening; tools used by plumbers, carpenters, other trades; locks and general hardware"
"3811",1,"2899",1,"Manufacture of hand-operated kitchen appliances"
"3811",1,"2915",1,"Manufacture of jacks, block and tackle"
"3811",1,"2921",1,"Manufacture of hand lawn mowers"
"3811",1,"3699",1,"Manufacture of vacuum containers"
"3812",1,"2899",1,"Manufacture of metal goods for office use (excluding furniture)"
"3812",1,"3150",1,"Manufacture of metal lamps"
"3812",1,"3311",1,"Manufacture of medical, surgical, dental furniture and fixtures"
"3812",1,"3610",1,"Manufacture of furniture and fixtures of metal"
"3813",1,"2811",0,"Manufacture of structural metal products"
"3813",1,"2812",1,"Manufacture of metal reservoirs and tanks for storage and manufacturing use; central heating boilers"
"3813",1,"2813",1,"Manufacture of steam generators, except central heating hot water boilers"
"3813",1,"2899",1,"Manufacture of furnace casings, laundry trays, and similar sheet metal products"
"3813",1,"2930",1,"Manufacture of sheet metal range hoods, domestic type"
"3813",1,"3420",1,"Manufacture of metal plate tanks designed and equipped for carriage by one or more modes of transport (e.g. trucks)"
"3813",1,"3511",1,"Manufacture of metal sections for ships and barges"
"3819",1,"2710",1,"Manufacture of pipe fittings of iron and steel"
"3819",1,"2720",1,"Manufacture of pipe fittings of non-ferrous metal; non-ferrous wire and cable from purchased rod"
"3819",1,"2812",1,"Manufacture of radiators, metal containers for compressed and liquefied gas"
"3819",1,"2891",1,"Pressing, stamping of metal products"
"3819",1,"2892",1,"Treatment and coating of metal (e.g. plating, polishing, engraving, welding), on a fee or contract basis"
"3819",1,"2899",1,"Manufacture of metal fasteners, springs, containers, wire articles, metal sanitary ware (e.g. sinks), kitchen ware, safes, picture frames, headgear"
"3819",1,"2912",1,"Manufacture of plumbers' valves, brass goods"
"3819",1,"2914",1,"Manufacture of non-electrical metal furnaces, stoves, and other space heaters"
"3819",1,"2919",1,"Manufacture of domestic fuel oil filters and cartridges, portable lawn sprinklers, chill coils; and manufacture, repair and servicing of fire extinguishers"
"3819",1,"2921",1,"Manufacture of metal incubators for poultry, livestock and other agricultural purposes"
"3819",1,"2929",1,"Manufacture of metallic and metal-faced type"
"3819",1,"2930",1,"Manufacture of non-electric domestic stoves and space heaters"
"3819",1,"3150",1,"Manufacture of metal lighting equipment and parts, except for use on cycle and motor equipment"
"3819",1,"3190",1,"Manufacture of bicycle lighting equipment"
"3819",1,"3699",1,"Manufacture of hand sifting or screening apparatus"
"3819",1,"5260",1,"""While-you-wait"" services, such as engraving of metal"
"3821",0,"2911",1,"Manufacture of engines and turbines"
"3822",1,"2912",1,"Manufacture of windmills for pumping water"
"3822",1,"2915",1,"Manufacture of loaders, stackers, farm elevators, etc"
"3822",1,"2921",1,"Manufacture of agricultural and forestry machinery other than power driven agricultural hand tools"
"3822",1,"2922",1,"Manufacture of power-driven agricultural hand tools"
"3823",1,"2893",1,"Manufacture of attachments and accessories for machine tools (whether or not power-operated)"
"3823",1,"2922",1,"Manufacture of machine tools, attachments and accessories for metal and woodworking machinery (non-electric)"
"3823",1,"2923",1,"Manufacture of machinery for metallurgy"
"3823",1,"2929",1,"Manufacture of moulds for metal"
"3823",1,"3312",1,"Manufacture of machinists' measuring tools"
"3824",1,"2813",1,"Manufacture of parts for nuclear reactors"
"3824",1,"2912",1,"Manufacture of laboratory pumps"
"3824",1,"2914",1,"Manufacture of electric bakery ovens"
"3824",1,"2915",1,"Manufacture of derricks; lifting and handling equipment for construction and mining"
"3824",1,"2919",1,"Manufacture of machinery for packing and packaging; bottling and canning; bottle cleaning; calendering"
"3824",1,"2922",1,"Manufacture of machine tools for industrial machinery other than metal and woodworking (non-electric)"
"3824",1,"2923",1,"Manufacture of smelting and refining machinery"
"3824",1,"2924",1,"Manufacture of machinery for mining, quarrying and construction"
"3824",1,"2925",0,"Manufacture of special industrial machinery for food, beverage and tobacco processing"
"3824",1,"2926",1,"Manufacture of textile machinery"
"3824",1,"2929",1,"Manufacture of printing trade machinery; paper industry machinery; machines for man-made textile fibres or yarns, glass-working, tile-making"
"3824",1,"3190",1,"Manufacture of apparatus for electroplating, electrolysis, electrophoresis"
"3824",1,"3511",1,"Manufacture of floating drilling platforms, oil rigs"
"3825",1,"2919",1,"Manufacture of weighing machines"
"3825",1,"3000",1,"Manufacture of office, accounting and computing machinery"
"3825",1,"7250",1,"Repair of office, computing and accounting machinery"
"3829",1,"2892",1,"Machine shop work: machining, tooling and fabricating including repairs"
"3829",1,"2899",1,"Manufacture of weather vanes, ship propellers and metal pallets, flexible tubing and hose"
"3829",1,"2911",1,"Manufacture of pistons and piston rings"
"3829",1,"2912",1,"Manufacture of pumps, air and gas compressors and valves"
"3829",1,"2913",0,"Manufacture of bearings, gears, gearing and driving elements"
"3829",1,"2914",1,"Manufacture of industrial process furnaces and ovens (non-electric)"
"3829",1,"2915",1,"Manufacture of lifting and hoisting machinery, cranes, elevators, industrial trucks, tractors, stackers; specialized parts for lifting and handling equipment"
"3829",1,"2919",1,"Manufacture of unit air conditioners, refrigerating equipment, fans (industrial), gas generators, fire sprinklers, centrifuges, other machinery n.e.c."
"3829",1,"2922",1,"Manufacture of scrap shredders, fan forges and hydraulic brake equipment"
"3829",1,"2924",1,"Manufacture of material handling equipment"
"3829",1,"2926",1,"Manufacture of sewing machines; washing, laundry, dry-cleaning, pressing machines"
"3829",1,"2927",1,"Manufacture of small arms and accessories, heavy ordnance and artillery; tanks"
"3829",1,"2929",1,"Manufacture of centrifugal clothes driers"
"3829",1,"2930",1,"Manufacture of domestic cooking ranges, refrigerators, laundry machines"
"3829",1,"3190",1,"Manufacture of dishwashing machines, except household type"
"3829",1,"3311",1,"Manufacture of beauty parlour and barber sterilizers"
"3829",1,"3420",1,"Manufacture of industrial trailers; containers"
"3829",1,"3599",1,"Manufacture of hand carts, trucks and trolleys (including specialized industrial use)"
"3829",1,"3694",1,"Manufacture of mechanical and coin-operated amusement machines"
"3829",1,"3699",1,"Manufacture of amusement park equipment"
"3831",1,"2922",1,"Manufacture of electric welding equipment"
"3831",1,"3110",1,"Manufacture of electric motors, generators, transformers"
"3831",1,"3120",1,"Manufacture of switch gear and switchboard apparatus; electricity distribution equipment"
"3831",1,"3190",1,"Manufacture of electric ignition or starting equipment for internal combustion engines; electromagnetic clutches and brakes; electric timing, controlling and signalling devices"
"3831",1,"3210",1,"Manufacture of capacitors except fixed and variable electronic capacitors"
"3831",1,"3520",1,"Manufacture of railway motor control electrical equipment"
"3832",1,"2213",1,"Publishing of recorded media"
"3832",1,"2230",1,"Reproduction of records, audio and computer tapes from master copies; reproduction of floppy, hard compact disks"
"3832",1,"3110",1,"Manufacture of radio transformers"
"3832",1,"3120",1,"Manufacture of semi-conductor circuits"
"3832",1,"3190",1,"Manufacture of visual and sound signalling and traffic control apparatus"
"3832",1,"3210",1,"Manufacture of electronic valves and tubes and other electronic components including fixed and variable electronic capacitors"
"3832",1,"3220",0,"Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"3832",1,"3230",0,"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods"
"3832",1,"3311",1,"Manufacture of X-ray apparatus; electrotherapeutic apparatus"
"3832",1,"3312",1,"Manufacture of radar equipment, radio remote control apparatus"
"3833",0,"2930",1,"Manufacture of electrical appliances and housewares"
"3839",1,"3120",1,"Manufacture of switches, fuses, sockets, plugs, conductors, lightning arresters"
"3839",1,"3130",0,"Manufacture of insulated wire and cable"
"3839",1,"3140",1,"Manufacture of accumulators, primary cells and primary batteries"
"3839",1,"3150",1,"Manufacture of electric lamps, fixtures"
"3839",1,"3190",1,"Manufacture of motor vehicle lighting equipment; carbon and graphite electrodes; other electrical equipment n.e.c."
"3841",1,"2911",1,"Manufacture of engines and turbines for marine propulsion"
"3841",1,"2915",1,"Manufacture of marine capstans, pulleys, tackle, etc"
"3841",1,"3511",1,"Building and repairing of ships (other than sport and pleasure boats) and specialized parts"
"3841",1,"3512",1,"Building and repairing of sport and pleasure boats and specialized parts"
"3842",0,"3520",1,"Manufacture of railway and tramway locomotives and rolling stock"
"3843",1,"2912",1,"Manufacture of pumps, compressors for motor vehicles"
"3843",1,"3190",1,"Manufacture of electric windshield wipers, defrosters"
"3843",1,"3410",0,"Manufacture of motor vehicles"
"3843",1,"3420",1,"Manufacture of motor vehicle bodies; trailers, semi-trailers; trailer parts"
"3843",1,"3430",1,"Manufacture of parts and accessories for motor vehicles and their engines"
"3843",1,"3592",1,"Manufacture of motorized invalid carriages"
"3844",1,"3591",0,"Manufacture of motorcycles"
"3844",1,"3592",1,"Manufacture of bicycles, bicycle parts"
"3845",1,"3511",1,"Building of hovercraft"
"3845",1,"3530",0,"Manufacture of aircraft and spacecraft"
"3849",1,"3592",1,"Manufacture of invalid carriages, not motorized"
"3849",1,"3599",1,"Manufacture of hand-propelled vehicles, animal-drawn vehicles, n.e.c."
"3849",1,"3699",1,"Manufacture of baby carriages"
"3851",1,"1729",1,"Manufacture of sanitary napkins"
"3851",1,"2423",1,"Manufacture of surgical, medical dressings, sutures, bandages; cements used in dentistry"
"3851",1,"2519",1,"Manufacture of medical rubber hose"
"3851",1,"2914",1,"Manufacture of laboratory heating apparatus"
"3851",1,"2919",1,"Manufacture of laboratory centrifuges"
"3851",1,"2929",1,"Manufacture of special purpose machinery n.e.c."
"3851",1,"3190",1,"Manufacture of accelerators (cyclotrons, betatrons); mine detectors"
"3851",1,"3311",1,"Manufacture of surgical, medical, dental equipment, instruments and supplies; orthopaedic and prosthetic appliances"
"3851",1,"3312",1,"Manufacture of instruments and appliances for measuring and controlling equipment, except industrial process control equipment"
"3851",1,"3313",0,"Manufacture of industrial process control equipment"
"3852",1,"3000",1,"Manufacture of photo-copying machines"
"3852",1,"3311",1,"Manufacture of ophthalmic instruments"
"3852",1,"3312",1,"Manufacture of scientific optical measuring instruments"
"3852",1,"3320",0,"Manufacture of optical instruments and photographic equipment"
"3853",0,"3330",1,"Manufacture of watches and clocks"
"3901",1,"2892",1,"Plating, engraving etc. of jewellery and silverware for the trade"
"3901",1,"2899",1,"Manufacture of precious metal plated ware"
"3901",1,"3330",1,"Manufacture of watch bands and bracelets of precious metal; jewels for watches"
"3901",1,"3691",0,"Manufacture of jewellery and related articles"
"3902",0,"3692",1,"Manufacture of musical instruments"
"3903",1,"3692",1,"Manufacture of whistles, call horns, signalling instruments"
"3903",1,"3693",0,"Manufacture of sports goods"
"3903",1,"3694",1,"Manufacture of billiard and pool tables and equipment"
"3909",1,"1810",1,"Manufacture of hair nets"
"3909",1,"1912",1,"Manufacture of instrument cases, except leather and precious metal"
"3909",1,"2101",1,"Manufacture of carbon paper in rolls or sheets"
"3909",1,"2109",1,"Manufacture of carbon paper, cut to size"
"3909",1,"2221",1,"Manufacture of advertising displays and novelties"
"3909",1,"2422",1,"Manufacture of artist's colours, paints"
"3909",1,"2899",1,"Manufacture of small metal articles n.e.c."
"3909",1,"2926",1,"Manufacture of needles for knitting, sewing machines"
"3909",1,"3150",1,"Manufacture of electric signs"
"3909",1,"3592",1,"Manufacture of children's bicycles"
"3909",1,"3694",1,"Manufacture of toys and games n.e.c."
"3909",1,"3699",1,"Manufacture of pens and pencils; costume jewellery; umbrellas, canes; feathers, artificial flowers; tobacco pipes; stamps; novelties; other manufactured goods n.e.c."
"4101",0,"4010",0,"Production, transmission and distribution of electricity"
"4102",0,"4020",0,"Manufacture of gas; distribution of gaseous fuels through mains"
"4103",0,"4030",0,"Steam and hot water supply"
"4200",0,"4100",0,"Collection, purification and distribution of water"
"5000",1,"1120",0,"Service activities incidental to oil and gas extraction excluding surveying"
"5000",1,"4510",0,"Site preparation (construction)"
"5000",1,"4520",1,"Building of complete constructions or parts thereof; civil engineering"
"5000",1,"4530",1,"Building installation"
"5000",1,"4540",0,"Building completion"
"5000",1,"4550",0,"Renting of construction or demolition equipment with operator"
"5000",1,"7421",1,"Project management activities for construction"
"5000",1,"7422",1,"Testing and building inspection services"
"6100",1,"3710",1,"Recycling of metal waste and scrap"
"6100",1,"3720",1,"Recycling of products n.e.c."
"6100",1,"5010",1,"Wholesale of motor vehicles, including by auction"
"6100",1,"5030",1,"Wholesale of motor vehicle parts and accessories"
"6100",1,"5040",1,"Wholesale of motorcycles and snowmobiles and related parts and accessories"
"6100",1,"5110",0,"Wholesale on a fee or contract basis"
"6100",1,"5121",0,"Wholesale of agricultural raw materials and live animals"
"6100",1,"5122",0,"Wholesale of food, beverages and tobacco"
"6100",1,"5131",0,"Wholesale of textiles, clothing and footwear"
"6100",1,"5139",0,"Wholesale of other household goods"
"6100",1,"5141",0,"Wholesale of solid, liquid and gaseous fuels and related products"
"6100",1,"5142",0,"Wholesale of metals and metal ores"
"6100",1,"5143",0,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"6100",1,"5149",0,"Wholesale of other intermediate products, waste and scrap"
"6100",1,"5151",0,"Wholesale of computers, computer peripheral equipment and software"
"6100",1,"5152",0,"Wholesale of electronic parts and equipment"
"6100",1,"5159",0,"Wholesale of other machinery, equipment and supplies"
"6100",1,"5190",0,"Other wholesale"
"6200",1,"5010",1,"Retail sale of motor vehicles"
"6200",1,"5030",1,"Retail sale of motor vehicle parts and accessories"
"6200",1,"5040",1,"Retail sale of motorcycles and snowmobiles and related parts and accessories"
"6200",1,"5050",0,"Retail sale of automotive fuel"
"6200",1,"5211",0,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"6200",1,"5219",0,"Other retail sale in non-specialized stores"
"6200",1,"5220",0,"Retail sale of food, beverages and tobacco in specialized stores"
"6200",1,"5231",0,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"6200",1,"5232",0,"Retail sale of textiles, clothing, footwear and leather goods"
"6200",1,"5233",0,"Retail sale of household appliances, articles and equipment"
"6200",1,"5234",0,"Retail sale of hardware, paints and glass"
"6200",1,"5239",0,"Other retail sale in specialized stores"
"6200",1,"5240",0,"Retail sale of second-hand goods in stores"
"6200",1,"5251",0,"Retail sale via mail order houses"
"6200",1,"5252",0,"Retail sale via stalls and markets"
"6200",1,"5259",0,"Other non-store retail sale"
